"imagen_id","respuesta","razon_area","peor_rugosidad","peor_contraste","peor_variacion_color","rango_brillo"
"img_0001","No conforme",1,0.0923647784486015,0.195273105854712,0.0923740158501865,0.0286710899801814
"img_0002","Conforme",1,0.0432322201646664,0.18631974743823,0.0432365438190483,0.0293223657047047
"img_0003","No conforme",1.01061771013128,0.216492246008488,0.177300717008861,0.216513897398228,0.027250549029182
"img_0004","Conforme",1,0.0433695979086642,0.186176646989713,0.0433739353021944,0.0291409538538316
"img_0005","No conforme",1.00846184658522,0.223314074067789,0.188942077770384,0.22333640770856,0.0321584216847139
"img_0006","Conforme",1,0.043110675774352,0.181754494551441,0.0431149872730793,0.0275060333970014
"img_0007","Conforme",1,0.0429886215818535,0.204426486664882,0.0429929208739409,0.0369720583029354
"img_0008","Conforme",1,0.0434443750635358,0.184081906075794,0.0434487199355294,0.0283658250517004
"img_0009","Conforme",1,0.0429344346069788,0.19318408829847,0.0429387284798268,0.0318242577047908
"img_0010","Conforme",1,0.0433624516127195,0.17186590937429,0.0433667882915486,0.0239793918026194
"img_0011","Conforme",1,0.0434169540211695,0.160865336072547,0.0434212961507846,0.019388571059283
"img_0012","Conforme",1,0.04315577124854,0.176578665004521,0.0431600872572657,0.0250159283806295
"img_0013","No conforme",1,0.0459790726253826,0.191617617326447,0.0459836709924818,0.0302691536757526
"img_0014","Conforme",1,0.0434148618135561,0.180397780340648,0.0434192037339295,0.0266687387264476
"img_0015","No conforme",1,0.0451363719869054,0.18991799671679,0.0451408860755129,0.0290700524543313
"img_0016","Conforme",1,0.0431545511245602,0.18061928444017,0.0431588670112613,0.0262730072021484
"img_0017","Conforme",1,0.0434804716873134,0.188240764772878,0.0434848201693304,0.029608244934082
"img_0018","No conforme",1.00551561114941,0.209931814580888,0.182848571205978,0.209952809861875,0.029248712014591
"img_0019","Conforme",1,0.0433753341667066,0.198026943210185,0.04337967213392,0.0340782042200425
"img_0020","No conforme",1,0.073999140085435,0.199067265100509,0.0740065407395089,0.0326041730992934
"img_0021","No conforme",1.01142384910797,0.225774480896709,0.198611859195147,0.22579706060277,0.0362677710678998
"img_0022","Conforme",1,0.0431551588339007,0.202741517899248,0.0431594747813788,0.0362322904519474
"img_0023","Conforme",1,0.043407630453652,0.200587955170556,0.043411971650817,0.035347189690085
"img_0024","Conforme",1,0.0431270100408877,0.186219870422631,0.043131323173205,0.0294115758200253
"img_0025","Conforme",1,0.0434334482706678,0.175502161558453,0.0434377920498728,0.0245771773573932
"img_0026","No conforme",1.00726026015932,0.22835182974538,0.193094293359921,0.228374667212101,0.0340259705307904
"img_0027","Conforme",1,0.0435851847837424,0.170645953522993,0.0435895437381162,0.0229187427655388
"img_0028","Conforme",1,0.0432186394548637,0.18538219405925,0.0432229617510388,0.0282963596299115
"img_0029","Conforme",1,0.0432148409466274,0.179275109211312,0.0432191628629137,0.0265699554263844
"img_0030","Conforme",1,0.0435700460559832,0.175569590540679,0.0435744034963328,0.0253457844274184
"img_0031","No conforme",1,0.0787843269186047,0.194152921983577,0.0787922061392186,0.030913548673742
"img_0032","Conforme",1,0.0432411646574162,0.178965871905415,0.0432454892063369,0.0264167246380975
"img_0033","Conforme",1,0.0434892770535506,0.18583387408034,0.0434936264161922,0.028944763399012
"img_0034","No conforme",1,0.0473138863759175,0.195212631625817,0.0473186182377413,0.0306918097821404
"img_0035","Conforme",1,0.043104474378689,0.179706369065013,0.0431087852572147,0.0263136932373047
"img_0036","No conforme",1,0.0481228329407991,0.200116697994851,0.0481276457053696,0.0318542935719209
"img_0037","No conforme",1,0.0544530870745002,0.200713882004484,0.054458532927793,0.0319055699426987
"img_0038","No conforme",1,0.044752674922507,0.196141993824518,0.0447571506375708,0.0327103157851275
"img_0039","No conforme",1,0.0830335448262975,0.192032564973888,0.0830418490111986,0.0278814219037224
"img_0040","Conforme",1,0.0437705607778959,0.179917634581605,0.0437749382717231,0.0259052772432214
"img_0041","No conforme",1.01228200765632,0.229241950788087,0.183258951458732,0.229264877275815,0.0297261746036306
"img_0042","No conforme",1,0.0786079676710707,0.190828102606146,0.0786158292539961,0.0293613166001264
"img_0043","Conforme",1,0.0429658961795938,0.184740341157887,0.0429701931989137,0.0283446443804573
"img_0044","Conforme",1,0.0429145895094735,0.167147031871962,0.0429188813976132,0.0221476825669232
"img_0045","No conforme",1,0.0512644491304433,0.2009027671145,0.0512695760880522,0.0319782064819336
"img_0046","Conforme",1,0.0433389644807558,0.181729066040901,0.0433432988106369,0.0275509675328872
"img_0047","Conforme",1,0.0433894614929318,0.190665399353891,0.0433938008730191,0.0311000462790096
"img_0048","Conforme",1,0.0431894842390702,0.184465236911608,0.0431938036194321,0.0278640106739717
"img_0049","No conforme",1.00504870212657,0.220106340921955,0.183927554124774,0.22012835375733,0.03002587511848
"img_0050","No conforme",1,0.06801527290952,0.207464222119745,0.0680220751170317,0.037243697420008
"img_0051","No conforme",1,0.0484370423030786,0.192464715216505,0.0484418864917278,0.0297224051621381
"img_0052","Conforme",1,0.0433817856723778,0.192943667921675,0.0433861242848063,0.0313823953965131
"img_0053","No conforme",1,0.051323561214933,0.210136439295972,0.0513286940843414,0.0368111689668543
"img_0054","No conforme",1,0.100948076913646,0.19925822123349,0.100958172730919,0.0311736401367187
"img_0055","Conforme",1,0.0436278255898848,0.183788103356397,0.0436321888087657,0.0277712704467773
"img_0056","No conforme",1,0.0449742021130785,0.198764101620188,0.0449786999830768,0.0337659389002183
"img_0057","No conforme",1,0.0680599889016068,0.194017527331622,0.0680667955811649,0.0301032982500861
"img_0058","Conforme",1,0.0433064752897754,0.191488800405222,0.0433108063704124,0.0313822158992992
"img_0059","Conforme",1,0.0432379721234449,0.208756693343416,0.0432422963530802,0.039187951408835
"img_0060","No conforme",1,0.0769059907622562,0.199654203459124,0.0769136821304692,0.0331460153557273
"img_0061","Conforme",1,0.0434902995943263,0.186827188232349,0.0434946490592323,0.0294779897891775
"img_0062","Conforme",1,0.0433075766537279,0.188050024983771,0.0433119078445124,0.0300062500897575
"img_0063","No conforme",1,0.0898701357144288,0.199446984789577,0.0898791236267915,0.0301678574146944
"img_0064","Conforme",1,0.0432077806331202,0.196200818053312,0.0432121018433046,0.0334624091114717
"img_0065","Conforme",1,0.0432377227169383,0.173707188416499,0.0432420469216304,0.024302606452493
"img_0066","No conforme",1.00922463226128,0.221020298658936,0.18886738004961,0.221042402899226,0.031869132008272
"img_0067","Conforme",1,0.0432607844373983,0.187534142804621,0.0432651109484932,0.029210000448788
"img_0068","No conforme",1,0.0767626259577569,0.19683823198723,0.0767703029880557,0.0293374434706744
"img_0069","No conforme",1,0.078266983769746,0.184620713729807,0.078274811250871,0.0265235254803825
"img_0070","No conforme",1,0.0957875883459278,0.198245511804419,0.095797168062734,0.0290270927877988
"img_0071","No conforme",1,0.0920278139911899,0.182224197661113,0.0920370176929592,0.0224729913509594
"img_0072","Conforme",1,0.0435102271697126,0.181976090305966,0.0435145786275754,0.0274582871380975
"img_0073","Conforme",1,0.0433503812519515,0.172123577682109,0.0433547167236239,0.0234486185410443
"img_0074","No conforme",1.01079784043191,0.201569895075377,0.173984846629401,0.201590054080785,0.0247657690968234
"img_0075","Conforme",1,0.0434623241932864,0.177374617313325,0.0434666708603724,0.025632441478056
"img_0076","Conforme",1,0.0435658312307983,0.185855911475804,0.0435701882496233,0.0284824982407513
"img_0077","Conforme",1,0.0432746996417823,0.174375999339534,0.0432790275445368,0.0240577722526999
"img_0078","No conforme",1.00946855418891,0.225655309736483,0.205555024280894,0.225677877524235,0.0399544045122932
