"imagen_id_foto","respuesta_global","brillo_medio","contraste_global","area_objeto","rugosidad_superficial","variacion_color_verde"
"img_0001-0","No conforme",0.903935284854664,0.195273105854712,12980,0.0652374604580867,0.0652439848565723
"img_0001-1","No conforme",0.932606374834846,0.141511418366277,12980,0.0923647784486015,0.0923740158501865
"img_0001-2","No conforme",0.904526608509737,0.194132672585175,12980,0.0657781924088173,0.0657847708859059
"img_0002-0","Conforme",0.92746796792423,0.174653429838038,9660,0.0326163201747897,0.032619582133003
"img_0002-1","Conforme",0.951905855443618,0.116616329855178,9660,0.0432322201646664,0.0432365438190483
"img_0002-2","Conforme",0.922583489738913,0.18631974743823,9660,0.0304985877134585,0.0305016378772462
"img_0003-0","No conforme",0.905363903180291,0.177300717008861,19322,0.216492246008488,0.216513897398228
"img_0003-1","No conforme",0.932614452209473,0.116587681840249,19189,0.134286861602759,0.134300291631922
"img_0003-2","No conforme",0.911298559731876,0.164413346443412,19119,0.198625503303101,0.198645367839885
"img_0004-0","Conforme",0.920562231445312,0.182022194138078,10508,0.0324487947713307,0.0324520399753282
"img_0004-1","Conforme",0.94787446768368,0.120315910773758,10508,0.0433695979086642,0.0433739353021944
"img_0004-2","Conforme",0.918733513829848,0.186176646989713,10508,0.0317256725406964,0.0317288454252389
"img_0005-0","No conforme",0.89991825687184,0.180864614446714,20141,0.212810801570924,0.212832084779402
"img_0005-1","No conforme",0.928273730917538,0.120521647879903,19972,0.134384438162055,0.13439787794985
"img_0005-2","No conforme",0.896115309232824,0.188942077770384,20046,0.223314074067789,0.22333640770856
"img_0006-0","Conforme",0.92586230551327,0.181754494551441,9360,0.0307850285159573,0.03078810732669
"img_0006-1","Conforme",0.953368338910271,0.115154190497362,9360,0.043110675774352,0.0431149872730793
"img_0006-2","Conforme",0.932616785673254,0.165329327077532,9360,0.0338307284049751,0.0338341118161567
"img_0007-0","Conforme",0.899073064323874,0.204426486664882,12870,0.0309780698617722,0.0309811679785701
"img_0007-1","Conforme",0.936045122626809,0.130570574607462,12870,0.0429886215818535,0.0429929208739409
"img_0007-2","Conforme",0.902766279332778,0.197010364332678,12870,0.0321683563417879,0.0321715734991378
"img_0008-0","Conforme",0.92559443583769,0.177136995879621,9849,0.0325375641427189,0.0325408182245413
"img_0008-1","Conforme",0.951018840044807,0.117445723030234,9849,0.0434443750635358,0.0434487199355294
"img_0008-2","Conforme",0.922653014993106,0.184081906075794,9849,0.0312992521573105,0.0313023823955501
"img_0009-0","Conforme",0.912438905531939,0.19318408829847,11189,0.0310693110294549,0.0310724182712821
"img_0009-1","Conforme",0.94426316323673,0.123895614807249,11189,0.0429344346069788,0.0429387284798268
"img_0009-2","Conforme",0.913961281235639,0.189852725027578,11189,0.0316466888764553,0.0316498538618414
"img_0010-0","Conforme",0.932799753166647,0.170961521262801,8784,0.0320706063231061,0.0320738137044765
"img_0010-1","Conforme",0.956420748865464,0.111651443954206,8784,0.0433624516127195,0.0433667882915486
"img_0010-2","Conforme",0.932441357062845,0.17186590937429,8784,0.0318918813131018,0.0318950708201838
"img_0011-0","Conforme",0.935918816420611,0.160865336072547,9000,0.034371985615526,0.0343754231578418
"img_0011-1","Conforme",0.955307387479894,0.11291748091113,9000,0.0434169540211695,0.0434212961507846
"img_0011-2","Conforme",0.936469454040527,0.159496971580535,9000,0.0346199718386702,0.0346234341820884
"img_0012-0","Conforme",0.923841884873334,0.176578665004521,10304,0.0330176486465295,0.0330209507416036
"img_0012-1","Conforme",0.948857813253964,0.119407253918516,10304,0.04315577124854,0.0431600872572657
"img_0012-2","Conforme",0.927174370314654,0.168927548072069,10304,0.0343627384920996,0.0343661751096106
"img_0013-0","No conforme",0.918416461917653,0.180208586969167,11195,0.0379427425280798,0.037946537181798
"img_0013-1","No conforme",0.943535840525908,0.125627365843546,11195,0.0459790726253826,0.0459836709924818
"img_0013-2","No conforme",0.913266686850155,0.191617617326447,11195,0.0408879762231241,0.0408920654296671
"img_0014-0","Conforme",0.923036540706859,0.180397780340648,10112,0.0323127003224011,0.0323159319155927
"img_0014-1","Conforme",0.949705279433306,0.118745437591247,10112,0.0434148618135561,0.0434192037339295
"img_0014-2","Conforme",0.926189887928682,0.173072385947143,10112,0.0336081184684896,0.0336114796164513
"img_0015-0","No conforme",0.906460511492561,0.18912582496268,12934,0.0362763784977877,0.0362800064984376
"img_0015-1","No conforme",0.935137524880802,0.132135705943608,12934,0.0451363719869054,0.0451408860755129
"img_0015-2","No conforme",0.906067472426471,0.18991799671679,12934,0.0363401660377722,0.036343800417814
"img_0016-0","Conforme",0.919362591732249,0.18061928444017,10920,0.0330467731818565,0.0330500781896755
"img_0016-1","Conforme",0.945635598934398,0.122629326554249,10920,0.0431545511245602,0.0431588670112613
"img_0016-2","Conforme",0.922458679342831,0.173753560601041,10920,0.0342339264663322,0.0342373502013523
"img_0017-0","Conforme",0.91487163127226,0.188240764772878,11152,0.032251688806795,0.0322549142982249
"img_0017-1","Conforme",0.944479876206342,0.123692750242768,11152,0.0434804716873134,0.0434848201693304
"img_0017-2","Conforme",0.918255512749167,0.180827401464855,11152,0.0335399538562136,0.0335433081870323
"img_0018-0","No conforme",0.898317022058823,0.179936922953319,20306,0.206145390462088,0.206166007062795
"img_0018-1","No conforme",0.925940566298541,0.122383881071744,20370,0.133199726726473,0.133213048031276
"img_0018-2","No conforme",0.89669185428395,0.182848571205978,20418,0.209931814580888,0.209952809861875
"img_0019-0","Conforme",0.911280610010484,0.194706153300057,11288,0.0312292054363994,0.0312323286692663
"img_0019-1","Conforme",0.943833805901022,0.124221333259718,11288,0.0433753341667066,0.04337967213392
"img_0019-2","Conforme",0.90975560168098,0.198026943210185,11288,0.0306684206091442,0.03067148775792
"img_0020-0","No conforme",0.903701160655302,0.199067265100509,12529,0.0498448187463745,0.0498498037267472
"img_0020-1","No conforme",0.936305333754595,0.134749319732543,12529,0.073999140085435,0.0740065407395089
